Vertex,Degrees of vertices when n=1600 and r=0.060000
957,0
728,3
1136,3
623,3
315,3
174,3
142,4
872,4
87,4
1517,4
145,4
1346,4
1108,4
1299,5
1551,5
1106,5
1170,5
622,5
933,5
640,5
934,5
36,5
1547,5
111,5
143,5
874,5
1393,6
1313,6
951,6
91,6
302,6
676,6
855,6
989,6
878,6
1318,7
23,7
146,7
1309,7
115,7
1050,7
220,7
301,7
594,7
1026,7
1459,7
598,7
1123,8
568,8
687,8
1012,8
1223,8
1493,8
1591,8
686,8
126,8
973,8
930,8
1482,8
356,8
1038,8
214,8
1492,8
657,9
444,9
425,9
191,9
956,9
496,9
44,9
1145,9
1230,9
1579,9
1275,9
423,9
627,9
619,9
1512,9
1210,9
813,9
785,9
561,9
820,9
884,9
452,10
1548,10
1260,10
509,10
488,10
238,10
937,10
1445,10
870,10
159,10
928,10
753,10
587,10
1085,10
525,10
1402,10
1232,10
202,10
994,10
138,10
380,10
1067,10
771,10
1227,10
1444,10
536,10
1173,10
1439,10
113,10
897,10
731,10
234,10
1019,10
611,10
506,10
852,10
754,11
679,11
865,11
1351,11
73,11
285,11
463,11
38,11
1057,11
330,11
749,11
1195,11
1359,11
641,11
723,11
794,11
390,11
43,11
190,11
321,11
1386,11
1045,11
247,11
801,11
519,11
139,11
1428,11
98,11
1193,11
88,11
1559,11
13,11
898,11
893,11
204,11
397,11
402,11
227,11
419,11
213,11
230,11
193,11
637,11
936,11
112,11
576,11
716,12
739,12
1408,12
1563,12
240,12
954,12
251,12
1564,12
902,12
1466,12
765,12
849,12
203,12
294,12
1316,12
597,12
1404,12
1488,12
1534,12
616,12
978,12
67,12
742,12
1375,12
661,12
21,12
1008,12
715,12
887,12
613,12
1259,12
10,12
811,12
869,12
1538,12
885,12
1311,12
1361,12
275,12
491,12
961,12
224,12
1460,12
705,12
1331,12
751,12
922,12
94,12
632,12
443,12
1338,13
815,13
441,13
1003,13
976,13
945,13
1394,13
445,13
185,13
1380,13
1541,13
745,13
1139,13
1162,13
725,13
1429,13
1542,13
1125,13
422,13
1307,13
376,13
379,13
480,13
530,13
999,13
899,13
400,13
580,13
1132,13
1112,13
198,13
471,13
1086,13
1216,13
575,13
372,13
135,13
711,13
517,13
226,13
588,13
14,13
385,13
650,13
81,13
1396,13
195,13
818,13
194,13
274,13
551,13
1323,13
104,13
1120,13
1047,13
706,13
237,13
1490,13
980,13
108,13
825,13
1148,13
99,13
1549,13
375,13
912,13
353,13
1282,14
651,14
1185,14
156,14
552,14
110,14
1268,14
154,14
761,14
27,14
713,14
606,14
1229,14
1060,14
1233,14
1355,14
1100,14
843,14
635,14
172,14
279,14
838,14
79,14
1097,14
1421,14
329,14
710,14
405,14
513,14
1167,14
201,14
986,14
564,14
389,14
1213,14
1258,14
790,14
1033,14
1334,14
22,14
1066,14
1443,14
1187,14
1382,14
490,14
648,14
1577,14
223,14
1207,14
165,14
677,14
1287,14
1523,14
1267,14
895,14
209,14
1432,14
1583,14
314,14
221,14
1433,14
1332,14
324,14
1446,14
768,14
1157,14
288,14
1387,14
127,14
1156,14
1521,14
235,14
1586,14
962,14
66,14
607,14
472,14
1291,14
991,14
299,14
565,14
11,14
1122,14
674,14
1381,14
1319,14
82,14
988,14
958,14
1343,14
18,14
560,14
526,14
1356,15
886,15
603,15
703,15
900,15
1083,15
1226,15
1078,15
583,15
1569,15
1553,15
528,15
752,15
244,15
233,15
90,15
704,15
35,15
499,15
518,15
396,15
964,15
298,15
805,15
1374,15
1395,15
844,15
730,15
741,15
1208,15
1426,15
1596,15
106,15
829,15
31,15
1503,15
335,15
858,15
610,15
71,15
229,15
1485,15
1138,15
188,15
786,15
467,15
476,15
346,15
369,15
1141,15
1061,15
453,15
712,15
952,15
1529,15
157,15
1574,15
1163,15
272,15
333,15
685,15
1406,15
322,15
459,15
1042,15
416,15
1342,15
1007,15
428,15
995,15
212,15
1525,15
89,15
1347,15
368,15
593,15
573,15
702,15
128,15
300,15
544,15
1288,15
357,15
778,15
523,15
1308,15
85,15
60,15
1035,15
1048,15
1305,15
520,15
386,15
1378,15
591,15
489,15
133,15
1194,15
732,15
1494,15
40,15
1220,15
1390,15
653,15
595,15
923,15
1251,15
1463,15
830,15
1510,15
673,15
430,15
155,15
167,15
16,15
7,15
493,15
803,15
939,15
795,15
1479,15
483,15
1285,15
1373,15
28,15
1434,15
694,15
963,15
304,15
652,15
572,15
286,16
296,16
360,16
867,16
1192,16
1293,16
177,16
1201,16
1345,16
1401,16
828,16
835,16
918,16
863,16
1550,16
374,16
1325,16
1196,16
1452,16
1203,16
871,16
54,16
510,16
1487,16
1046,16
1600,16
103,16
955,16
1133,16
1044,16
1540,16
569,16
990,16
144,16
100,16
64,16
466,16
629,16
1384,16
1010,16
1069,16
268,16
464,16
1023,16
634,16
1237,16
1134,16
1180,16
775,16
1276,16
75,16
714,16
1058,16
1273,16
1399,16
1598,16
395,16
577,16
743,16
1228,16
352,16
65,16
319,16
404,16
846,16
436,16
527,16
70,16
269,16
421,16
393,16
391,16
1454,16
675,16
129,16
175,16
860,16
307,16
1518,16
570,16
308,16
699,16
1576,16
364,16
659,16
354,16
993,16
1073,16
309,16
566,16
1536,16
541,16
1296,16
896,16
599,16
336,16
1177,16
332,16
590,16
1113,16
624,16
1290,16
1027,16
1271,16
984,16
442,16
1055,16
84,16
406,16
879,16
1171,16
131,16
3,16
347,16
907,16
1089,16
662,16
281,16
52,16
1277,16
1146,16
1261,16
1126,16
638,16
465,16
437,16
1383,16
1519,16
1590,16
1568,16
968,17
1245,17
498,17
762,17
1051,17
388,17
681,17
1497,17
289,17
1080,17
1335,17
148,17
295,17
259,17
381,17
1469,17
1430,17
690,17
343,17
1500,17
1161,17
1242,17
486,17
200,17
808,17
892,17
125,17
1212,17
447,17
1344,17
1175,17
1034,17
868,17
210,17
793,17
231,17
832,17
680,17
1037,17
721,17
931,17
1593,17
759,17
950,17
773,17
826,17
1468,17
1425,17
276,17
1370,17
117,17
1303,17
166,17
1002,17
734,17
1214,17
162,17
1116,17
1199,17
914,17
1465,17
1247,17
1200,17
1119,17
