Vertex,Degrees of vertices when n=200 and r=0.160000
170,8
159,6
181,4
72,12
107,4
32,6
40,8
26,9
193,8
48,8
149,9
141,8
13,9
112,9
2,12
51,9
66,14
74,6
8,12
114,8
60,12
157,9
123,13
83,12
6,16
9,9
86,9
62,13
147,16
125,16
168,8
81,17
16,7
136,12
115,12
93,19
106,11
153,14
100,16
89,13
88,12
33,14
145,9
23,11
195,7
183,17
56,18
186,18
71,9
173,10
158,16
99,21
188,13
67,22
154,21
162,22
174,14
167,8
124,23
103,20
113,12
105,13
137,11
87,18
68,10
144,23
58,9
161,16
17,14
190,8
4,24
55,18
156,21
155,23
140,12
143,17
19,18
111,12
31,20
139,12
82,23
25,12
131,22
24,17
52,22
121,17
172,15
194,17
22,23
36,21
3,20
175,21
98,14
109,19
164,14
1,16
129,15
133,14
91,16
59,18
152,17
163,19
132,19
146,9
150,16
127,20
37,16
134,9
116,17
57,17
21,16
30,18
78,12
5,19
47,17
196,21
138,18
73,18
130,15
110,10
69,11
90,12
126,7
27,7
92,11
166,20
165,15
169,22
108,15
179,19
44,16
76,14
142,8
54,21
148,21
104,19
75,19
160,18
79,21
85,16
189,12
120,17
53,16
64,20
29,20
14,9
45,11
198,19
185,17
77,9
20,15
199,11
38,12
43,10
117,15
101,8
12,16
119,17
97,14
184,10
7,10
80,17
192,12
18,8
41,15
178,18
177,16
96,15
191,15
187,11
65,15
49,13
34,14
11,14
182,10
180,14
197,8
39,9
35,5
128,7
42,7
63,8
176,16
94,13
50,13
28,11
15,12
171,12
46,11
122,5
95,7
70,5
102,7
135,8
61,5
200,3
10,3
118,6
151,5
84,5
